1: [('с', 0.9873), ('в', 0.9710), ('б', 0.9519), ('ю', 0.9500), ('к', 0.9434), ('е', 0.9431), ('о', 0.9324), ('ж', 0.9229), ('ә', 0.9228), ('ө', 0.9215), ('м', 0.9165), ('а', 0.9152), ('ё', 0.9148), ('х', 0.9139), ('қ', 0.9133), ('у', 0.9114), ('д', 0.9082), ('ш', 0.9050), ('ъ', 0.9050), ('ұ', 0.9030), ('и', 0.9026), ('щ', 0.9018), ('і', 0.8994), ('э', 0.8971), ('р', 0.8967), ('ц', 0.8952), ('й', 0.8950), ('һ', 0.8896), ('ы', 0.8885), ('л', 0.8884), ('ф', 0.8867), ('я', 0.8847), ('з', 0.8800), ('н', 0.8789), ('ү', 0.8784), ('п', 0.8782), ('ь', 0.8722), ('ғ', 0.8712), ('ң', 0.8647), ('т', 0.8412), ('ч', 0.8358), ('г', 0.8231)]
2: [('ә', 0.9887), ('ө', 0.9832), ('д', 0.9729), ('о', 0.9726), ('а', 0.9709), ('е', 0.9649), ('э', 0.9584), ('б', 0.9556), ('ж', 0.9508), ('я', 0.9457), ('ю', 0.9444), ('м', 0.9437), ('в', 0.9381), ('л', 0.9352), ('з', 0.9350), ('щ', 0.9347), ('ё', 0.9336), ('ц', 0.9329), ('х', 0.9290), ('ұ', 0.9276), ('и', 0.9237), ('ф', 0.9209), ('і', 0.9196), ('й', 0.9182), ('ъ', 0.9173), ('қ', 0.9163), ('с', 0.9159), ('ш', 0.9116), ('н', 0.9052), ('у', 0.8996), ('ү', 0.8984), ('ң', 0.8969), ('ы', 0.8957), ('к', 0.8872), ('ч', 0.8856), ('п', 0.8840), ('һ', 0.8738), ('р', 0.8697), ('ь', 0.8457), ('ғ', 0.8456), ('т', 0.8436), ('г', 0.7798)]
3: [('у', 0.9628), ('ж', 0.9419), ('е', 0.9416), ('ү', 0.9411), ('ұ', 0.9395), ('б', 0.9364), ('ө', 0.9336), ('қ', 0.9333), ('х', 0.9283), ('ә', 0.9266), ('ю', 0.9239), ('в', 0.9231), ('с', 0.9216), ('о', 0.9192), ('ф', 0.9191), ('д', 0.9177), ('щ', 0.9160), ('к', 0.9100), ('ғ', 0.9071), ('а', 0.9065), ('э', 0.9049), ('р', 0.9025), ('я', 0.9018), ('м', 0.9012), ('ё', 0.9007), ('л', 0.8974), ('ц', 0.8966), ('ъ', 0.8900), ('т', 0.8891), ('з', 0.8864), ('и', 0.8849), ('ң', 0.8839), ('й', 0.8706), ('і', 0.8702), ('п', 0.8677), ('н', 0.8659), ('ш', 0.8625), ('һ', 0.8589), ('ч', 0.8562), ('ы', 0.8531), ('ь', 0.8360), ('г', 0.8230)]
4: [('л', 0.9835), ('я', 0.9715), ('д', 0.9541), ('э', 0.9472), ('о', 0.9440), ('з', 0.9370), ('ә', 0.9344), ('а', 0.9337), ('ө', 0.9311), ('м', 0.9210), ('ц', 0.9204), ('е', 0.9168), ('б', 0.9143), ('щ', 0.9124), ('ю', 0.9108), ('ж', 0.9107), ('и', 0.9107), ('ч', 0.9089), ('в', 0.9033), ('н', 0.9029), ('ң', 0.8990), ('п', 0.8987), ('х', 0.8957), ('і', 0.8956), ('қ', 0.8933), ('ұ', 0.8921), ('ш', 0.8917), ('й', 0.8885), ('ё', 0.8871), ('с', 0.8868), ('ф', 0.8811), ('ъ', 0.8787), ('ү', 0.8782), ('ы', 0.8712), ('у', 0.8694), ('к', 0.8523), ('р', 0.8504), ('һ', 0.8484), ('т', 0.8415), ('ғ', 0.8235), ('ь', 0.8099), ('г', 0.7610)]
5: [('е', 0.9865), ('б', 0.9828), ('ю', 0.9680), ('в', 0.9672), ('ө', 0.9645), ('ә', 0.9628), ('о', 0.9605), ('ж', 0.9486), ('д', 0.9437), ('а', 0.9437), ('м', 0.9437), ('с', 0.9431), ('қ', 0.9359), ('щ', 0.9357), ('ё', 0.9336), ('х', 0.9279), ('э', 0.9266), ('ұ', 0.9264), ('ц', 0.9261), ('и', 0.9237), ('ф', 0.9194), ('к', 0.9194), ('я', 0.9188), ('у', 0.9187), ('і', 0.9162), ('л', 0.9140), ('ъ', 0.9134), ('й', 0.9127), ('ш', 0.9075), ('з', 0.9050), ('ү', 0.9005), ('н', 0.9000), ('р', 0.8956), ('ы', 0.8955), ('ң', 0.8935), ('һ', 0.8895), ('п', 0.8876), ('ғ', 0.8672), ('ч', 0.8668), ('ь', 0.8610), ('т', 0.8494), ('г', 0.8040)]
6: [('м', 0.9745), ('і', 0.9609), ('ю', 0.9569), ('и', 0.9566), ('б', 0.9516), ('о', 0.9515), ('ә', 0.9500), ('е', 0.9500), ('ө', 0.9464), ('й', 0.9463), ('в', 0.9457), ('ц', 0.9456), ('а', 0.9420), ('щ', 0.9380), ('д', 0.9367), ('н', 0.9330), ('ш', 0.9326), ('ё', 0.9317), ('ы', 0.9287), ('қ', 0.9191), ('э', 0.9178), ('я', 0.9178), ('ж', 0.9145), ('с', 0.9118), ('л', 0.9087), ('һ', 0.9077), ('ф', 0.9055), ('ъ', 0.9015), ('ң', 0.9010), ('з', 0.8989), ('п', 0.8958), ('к', 0.8952), ('х', 0.8948), ('ұ', 0.8931), ('р', 0.8778), ('ч', 0.8776), ('у', 0.8771), ('ү', 0.8659), ('ь', 0.8653), ('ғ', 0.8313), ('т', 0.8164), ('г', 0.7790)]
7: [('м', 0.9745), ('і', 0.9609), ('ю', 0.9569), ('и', 0.9566), ('б', 0.9516), ('о', 0.9515), ('ә', 0.9500), ('е', 0.9500), ('ө', 0.9464), ('й', 0.9463), ('в', 0.9457), ('ц', 0.9456), ('а', 0.9420), ('щ', 0.9380), ('д', 0.9367), ('н', 0.9330), ('ш', 0.9326), ('ё', 0.9317), ('ы', 0.9287), ('қ', 0.9191), ('э', 0.9178), ('я', 0.9178), ('ж', 0.9145), ('с', 0.9118), ('л', 0.9087), ('һ', 0.9077), ('ф', 0.9055), ('ъ', 0.9015), ('ң', 0.9010), ('з', 0.8989), ('п', 0.8958), ('к', 0.8952), ('х', 0.8948), ('ұ', 0.8931), ('р', 0.8778), ('ч', 0.8776), ('у', 0.8771), ('ү', 0.8659), ('ь', 0.8653), ('ғ', 0.8313), ('т', 0.8164), ('г', 0.7790)]
8: [('е', 0.9865), ('б', 0.9828), ('ю', 0.9680), ('в', 0.9672), ('ө', 0.9645), ('ә', 0.9628), ('о', 0.9605), ('ж', 0.9486), ('д', 0.9437), ('а', 0.9437), ('м', 0.9437), ('с', 0.9431), ('қ', 0.9359), ('щ', 0.9357), ('ё', 0.9336), ('х', 0.9279), ('э', 0.9266), ('ұ', 0.9264), ('ц', 0.9261), ('и', 0.9237), ('ф', 0.9194), ('к', 0.9194), ('я', 0.9188), ('у', 0.9187), ('і', 0.9162), ('л', 0.9140), ('ъ', 0.9134), ('й', 0.9127), ('ш', 0.9075), ('з', 0.9050), ('ү', 0.9005), ('н', 0.9000), ('р', 0.8956), ('ы', 0.8955), ('ң', 0.8935), ('һ', 0.8895), ('п', 0.8876), ('ғ', 0.8672), ('ч', 0.8668), ('ь', 0.8610), ('т', 0.8494), ('г', 0.8040)]
9: [('и', 0.9902), ('м', 0.9742), ('н', 0.9673), ('ц', 0.9570), ('і', 0.9476), ('ю', 0.9426), ('щ', 0.9386), ('о', 0.9317), ('й', 0.9292), ('б', 0.9291), ('п', 0.9262), ('в', 0.9252), ('е', 0.9224), ('ы', 0.9213), ('ә', 0.9211), ('қ', 0.9206), ('д', 0.9198), ('ң', 0.9197), ('ө', 0.9188), ('ш', 0.9184), ('һ', 0.9160), ('а', 0.9118), ('я', 0.9117), ('л', 0.9066), ('ё', 0.8986), ('э', 0.8955), ('с', 0.8951), ('ч', 0.8892), ('ж', 0.8867), ('р', 0.8839), ('ф', 0.8831), ('к', 0.8813), ('з', 0.8780), ('ъ', 0.8700), ('х', 0.8671), ('ұ', 0.8668), ('у', 0.8589), ('ү', 0.8485), ('ь', 0.8484), ('ғ', 0.8201), ('т', 0.8076), ('г', 0.7747)]
10: [('с', 0.9873), ('в', 0.9710), ('б', 0.9519), ('ю', 0.9500), ('к', 0.9434), ('е', 0.9431), ('о', 0.9324), ('ж', 0.9229), ('ә', 0.9228), ('ө', 0.9215), ('м', 0.9165), ('а', 0.9152), ('ё', 0.9148), ('х', 0.9139), ('қ', 0.9133), ('у', 0.9114), ('д', 0.9082), ('ш', 0.9050), ('ъ', 0.9050), ('ұ', 0.9030), ('и', 0.9026), ('щ', 0.9018), ('і', 0.8994), ('э', 0.8971), ('р', 0.8967), ('ц', 0.8952), ('й', 0.8950), ('һ', 0.8896), ('ы', 0.8885), ('л', 0.8884), ('ф', 0.8867), ('я', 0.8847), ('з', 0.8800), ('н', 0.8789), ('ү', 0.8784), ('п', 0.8782), ('ь', 0.8722), ('ғ', 0.8712), ('ң', 0.8647), ('т', 0.8412), ('ч', 0.8358), ('г', 0.8231)]
11: [('е', 0.9865), ('б', 0.9828), ('ю', 0.9680), ('в', 0.9672), ('ө', 0.9645), ('ә', 0.9628), ('о', 0.9605), ('ж', 0.9486), ('д', 0.9437), ('а', 0.9437), ('м', 0.9437), ('с', 0.9431), ('қ', 0.9359), ('щ', 0.9357), ('ё', 0.9336), ('х', 0.9279), ('э', 0.9266), ('ұ', 0.9264), ('ц', 0.9261), ('и', 0.9237), ('ф', 0.9194), ('к', 0.9194), ('я', 0.9188), ('у', 0.9187), ('і', 0.9162), ('л', 0.9140), ('ъ', 0.9134), ('й', 0.9127), ('ш', 0.9075), ('з', 0.9050), ('ү', 0.9005), ('н', 0.9000), ('р', 0.8956), ('ы', 0.8955), ('ң', 0.8935), ('һ', 0.8895), ('п', 0.8876), ('ғ', 0.8672), ('ч', 0.8668), ('ь', 0.8610), ('т', 0.8494), ('г', 0.8040)]
