1: [('с', 0.9795), ('в', 0.9700), ('б', 0.9573), ('ю', 0.9539), ('е', 0.9483), ('о', 0.9452), ('ә', 0.9320), ('ж', 0.9298), ('ө', 0.9294), ('к', 0.9289), ('а', 0.9263), ('м', 0.9225), ('д', 0.9198), ('х', 0.9198), ('ё', 0.9191), ('ш', 0.9132), ('қ', 0.9124), ('ъ', 0.9110), ('э', 0.9090), ('у', 0.9086), ('и', 0.9080), ('ұ', 0.9072), ('щ', 0.9067), ('і', 0.9035), ('ц', 0.9021), ('й', 0.9009), ('л', 0.9001), ('я', 0.8951), ('ы', 0.8928), ('з', 0.8918), ('р', 0.8895), ('ф', 0.8894), ('һ', 0.8870), ('н', 0.8849), ('п', 0.8828), ('ү', 0.8808), ('ң', 0.8693), ('ь', 0.8668), ('ғ', 0.8640), ('ч', 0.8439), ('т', 0.8419), ('г', 0.8129)]
2: [('ә', 0.9887), ('ө', 0.9863), ('а', 0.9716), ('д', 0.9694), ('е', 0.9626), ('о', 0.9617), ('э', 0.9608), ('ж', 0.9587), ('б', 0.9505), ('ё', 0.9413), ('я', 0.9396), ('з', 0.9375), ('ұ', 0.9374), ('ю', 0.9368), ('х', 0.9362), ('м', 0.9347), ('щ', 0.9320), ('ф', 0.9320), ('в', 0.9304), ('ц', 0.9274), ('л', 0.9265), ('ъ', 0.9256), ('й', 0.9179), ('и', 0.9150), ('і', 0.9134), ('қ', 0.9117), ('с', 0.9112), ('ш', 0.9072), ('ү', 0.9039), ('у', 0.9026), ('н', 0.8975), ('ы', 0.8932), ('ң', 0.8919), ('к', 0.8851), ('ч', 0.8822), ('п', 0.8730), ('һ', 0.8702), ('р', 0.8649), ('ь', 0.8477), ('ғ', 0.8460), ('т', 0.8435), ('г', 0.7779)]
3: [('у', 0.9843), ('ү', 0.9399), ('ұ', 0.9358), ('ж', 0.9324), ('е', 0.9275), ('х', 0.9245), ('б', 0.9240), ('ғ', 0.9222), ('қ', 0.9216), ('с', 0.9191), ('ө', 0.9171), ('к', 0.9145), ('ф', 0.9142), ('в', 0.9127), ('ю', 0.9119), ('ә', 0.9108), ('о', 0.9039), ('щ', 0.9021), ('д', 0.9012), ('р', 0.9012), ('ё', 0.8950), ('а', 0.8928), ('т', 0.8903), ('э', 0.8902), ('ъ', 0.8872), ('м', 0.8862), ('я', 0.8831), ('ц', 0.8820), ('л', 0.8798), ('з', 0.8730), ('и', 0.8709), ('ң', 0.8696), ('й', 0.8612), ('і', 0.8576), ('һ', 0.8543), ('п', 0.8539), ('ш', 0.8534), ('н', 0.8522), ('ы', 0.8451), ('ч', 0.8406), ('ь', 0.8386), ('г', 0.8343)]
4: [('л', 0.9926), ('я', 0.9662), ('д', 0.9456), ('э', 0.9374), ('о', 0.9337), ('з', 0.9281), ('ә', 0.9242), ('ө', 0.9227), ('а', 0.9200), ('ц', 0.9131), ('ч', 0.9104), ('м', 0.9099), ('е', 0.9098), ('щ', 0.9086), ('б', 0.9078), ('ж', 0.9069), ('ю', 0.9038), ('и', 0.9003), ('ң', 0.8999), ('п', 0.8991), ('в', 0.8958), ('қ', 0.8935), ('н', 0.8933), ('х', 0.8929), ('ұ', 0.8909), ('ү', 0.8841), ('с', 0.8833), ('і', 0.8803), ('ш', 0.8777), ('ф', 0.8772), ('ё', 0.8766), ('й', 0.8750), ('у', 0.8726), ('ъ', 0.8697), ('ы', 0.8581), ('т', 0.8529), ('р', 0.8523), ('к', 0.8488), ('һ', 0.8408), ('ғ', 0.8286), ('ь', 0.8011), ('г', 0.7641)]
5: [('е', 0.9923), ('б', 0.9777), ('ө', 0.9723), ('ә', 0.9682), ('ю', 0.9594), ('ж', 0.9583), ('о', 0.9570), ('в', 0.9550), ('д', 0.9470), ('а', 0.9464), ('ё', 0.9413), ('м', 0.9384), ('щ', 0.9378), ('ұ', 0.9374), ('с', 0.9361), ('х', 0.9354), ('қ', 0.9337), ('ф', 0.9326), ('э', 0.9307), ('ц', 0.9255), ('у', 0.9239), ('ъ', 0.9203), ('я', 0.9192), ('и', 0.9182), ('к', 0.9156), ('й', 0.9135), ('і', 0.9116), ('л', 0.9115), ('з', 0.9085), ('ү', 0.9083), ('ш', 0.9038), ('н', 0.8959), ('ы', 0.8936), ('ң', 0.8928), ('р', 0.8910), ('һ', 0.8860), ('п', 0.8793), ('ғ', 0.8682), ('ч', 0.8677), ('ь', 0.8616), ('т', 0.8509), ('г', 0.8012)]
6: [('м', 0.9942), ('и', 0.9758), ('ц', 0.9667), ('ю', 0.9623), ('щ', 0.9557), ('б', 0.9514), ('о', 0.9511), ('н', 0.9499), ('е', 0.9452), ('і', 0.9441), ('ә', 0.9426), ('ө', 0.9409), ('в', 0.9407), ('д', 0.9387), ('й', 0.9350), ('қ', 0.9347), ('а', 0.9290), ('я', 0.9234), ('ң', 0.9214), ('ш', 0.9212), ('ы', 0.9200), ('п', 0.9164), ('ё', 0.9163), ('л', 0.9163), ('һ', 0.9131), ('э', 0.9118), ('с', 0.9101), ('ж', 0.9078), ('ф', 0.9027), ('к', 0.8939), ('з', 0.8918), ('р', 0.8909), ('ч', 0.8904), ('ұ', 0.8874), ('ъ', 0.8869), ('х', 0.8867), ('у', 0.8780), ('ү', 0.8672), ('ь', 0.8550), ('ғ', 0.8344), ('т', 0.8213), ('г', 0.7826)]
7: [('м', 0.9942), ('и', 0.9758), ('ц', 0.9667), ('ю', 0.9623), ('щ', 0.9557), ('б', 0.9514), ('о', 0.9511), ('н', 0.9499), ('е', 0.9452), ('і', 0.9441), ('ә', 0.9426), ('ө', 0.9409), ('в', 0.9407), ('д', 0.9387), ('й', 0.9350), ('қ', 0.9347), ('а', 0.9290), ('я', 0.9234), ('ң', 0.9214), ('ш', 0.9212), ('ы', 0.9200), ('п', 0.9164), ('ё', 0.9163), ('л', 0.9163), ('һ', 0.9131), ('э', 0.9118), ('с', 0.9101), ('ж', 0.9078), ('ф', 0.9027), ('к', 0.8939), ('з', 0.8918), ('р', 0.8909), ('ч', 0.8904), ('ұ', 0.8874), ('ъ', 0.8869), ('х', 0.8867), ('у', 0.8780), ('ү', 0.8672), ('ь', 0.8550), ('ғ', 0.8344), ('т', 0.8213), ('г', 0.7826)]
8: [('е', 0.9923), ('б', 0.9777), ('ө', 0.9723), ('ә', 0.9682), ('ю', 0.9594), ('ж', 0.9583), ('о', 0.9570), ('в', 0.9550), ('д', 0.9470), ('а', 0.9464), ('ё', 0.9413), ('м', 0.9384), ('щ', 0.9378), ('ұ', 0.9374), ('с', 0.9361), ('х', 0.9354), ('қ', 0.9337), ('ф', 0.9326), ('э', 0.9307), ('ц', 0.9255), ('у', 0.9239), ('ъ', 0.9203), ('я', 0.9192), ('и', 0.9182), ('к', 0.9156), ('й', 0.9135), ('і', 0.9116), ('л', 0.9115), ('з', 0.9085), ('ү', 0.9083), ('ш', 0.9038), ('н', 0.8959), ('ы', 0.8936), ('ң', 0.8928), ('р', 0.8910), ('һ', 0.8860), ('п', 0.8793), ('ғ', 0.8682), ('ч', 0.8677), ('ь', 0.8616), ('т', 0.8509), ('г', 0.8012)]
9: [('н', 0.9774), ('и', 0.9633), ('ц', 0.9460), ('м', 0.9425), ('і', 0.9271), ('щ', 0.9266), ('һ', 0.9234), ('ң', 0.9211), ('й', 0.9193), ('п', 0.9191), ('ы', 0.9167), ('ю', 0.9155), ('қ', 0.9061), ('о', 0.9025), ('б', 0.9023), ('ш', 0.9009), ('в', 0.8962), ('д', 0.8956), ('е', 0.8954), ('ә', 0.8941), ('ө', 0.8926), ('я', 0.8895), ('ч', 0.8871), ('а', 0.8849), ('л', 0.8832), ('ё', 0.8796), ('р', 0.8757), ('э', 0.8707), ('с', 0.8705), ('ф', 0.8702), ('к', 0.8639), ('ж', 0.8621), ('з', 0.8546), ('ъ', 0.8493), ('ұ', 0.8449), ('х', 0.8429), ('ь', 0.8419), ('у', 0.8390), ('ү', 0.8295), ('ғ', 0.8038), ('т', 0.7897), ('г', 0.7640)]
10: [('с', 0.9795), ('в', 0.9700), ('б', 0.9573), ('ю', 0.9539), ('е', 0.9483), ('о', 0.9452), ('ә', 0.9320), ('ж', 0.9298), ('ө', 0.9294), ('к', 0.9289), ('а', 0.9263), ('м', 0.9225), ('д', 0.9198), ('х', 0.9198), ('ё', 0.9191), ('ш', 0.9132), ('қ', 0.9124), ('ъ', 0.9110), ('э', 0.9090), ('у', 0.9086), ('и', 0.9080), ('ұ', 0.9072), ('щ', 0.9067), ('і', 0.9035), ('ц', 0.9021), ('й', 0.9009), ('л', 0.9001), ('я', 0.8951), ('ы', 0.8928), ('з', 0.8918), ('р', 0.8895), ('ф', 0.8894), ('һ', 0.8870), ('н', 0.8849), ('п', 0.8828), ('ү', 0.8808), ('ң', 0.8693), ('ь', 0.8668), ('ғ', 0.8640), ('ч', 0.8439), ('т', 0.8419), ('г', 0.8129)]
11: [('е', 0.9923), ('б', 0.9777), ('ө', 0.9723), ('ә', 0.9682), ('ю', 0.9594), ('ж', 0.9583), ('о', 0.9570), ('в', 0.9550), ('д', 0.9470), ('а', 0.9464), ('ё', 0.9413), ('м', 0.9384), ('щ', 0.9378), ('ұ', 0.9374), ('с', 0.9361), ('х', 0.9354), ('қ', 0.9337), ('ф', 0.9326), ('э', 0.9307), ('ц', 0.9255), ('у', 0.9239), ('ъ', 0.9203), ('я', 0.9192), ('и', 0.9182), ('к', 0.9156), ('й', 0.9135), ('і', 0.9116), ('л', 0.9115), ('з', 0.9085), ('ү', 0.9083), ('ш', 0.9038), ('н', 0.8959), ('ы', 0.8936), ('ң', 0.8928), ('р', 0.8910), ('һ', 0.8860), ('п', 0.8793), ('ғ', 0.8682), ('ч', 0.8677), ('ь', 0.8616), ('т', 0.8509), ('г', 0.8012)]
